action_tx_hash,cert_index,action_type,proposal_epoch,drep_yes,drep_no,drep_abstain,drep_total_votes
48bab0ca71cc46f2ee421242b14f292b8c8382bda707d03ea662644bed22b893,0,InfoAction,644,21,0,3,24
529dccaadaa000746c22f1682574cb3f436eeba4d19710b90791a54226dc96d7,0,TreasuryWithdrawals,642,81,36,9,126
2f429bde312c0806bd16199da10f4145da9807161e99d4486174c6fb9a91f983,0,TreasuryWithdrawals,641,6,65,18,89
3234567a3f48ace25efc150f1369192615974e232ea06e0251701831d9e4486d,0,TreasuryWithdrawals,640,44,38,25,107
a75645e0871f3dbb6207df867d9bd6a1a3a5befa40d68df6da651db4d6607fbf,0,InfoAction,640,81,52,6,139
c0660dfd01b0a2d9ba7bac02014370096242ec756031b57d78080844fbbe9c05,0,TreasuryWithdrawals,640,29,55,15,99
dfd81f8db652fd9263e0ce3bef043b4823045ec3a5da10c817681ada7a23f034,0,TreasuryWithdrawals,640,72,27,24,123
0f75dd11be0b7a6cb4b305a175b17cf4b60cd307c052fccabf9f572950e70583,0,TreasuryWithdrawals,639,21,75,28,124
35b44189eb4795d5775122da52a3a115753f83fd662dd1ff205ea633fc99b34e,0,TreasuryWithdrawals,639,60,48,25,133
4b7abfa70d98858750c50cd651d54c2955303b5410b34f40eb259f2fffc7c939,0,TreasuryWithdrawals,639,31,72,20,123
5439b6141625436ccf600f910bb0b3301b6288933a2cdf7939758848ae8b9997,0,TreasuryWithdrawals,639,94,58,19,171
d8de068952df50c862fa1bce9b8180d3387976cbae0fb2c3d9ef84f0faaf64d6,0,TreasuryWithdrawals,639,127,16,11,154
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,2,TreasuryWithdrawals,638,126,26,9,161
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,3,TreasuryWithdrawals,638,125,26,12,163
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,4,TreasuryWithdrawals,638,115,43,23,181
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,8,TreasuryWithdrawals,638,98,18,8,124
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,10,TreasuryWithdrawals,638,104,10,9,123
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,6,TreasuryWithdrawals,638,108,21,17,146
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,5,TreasuryWithdrawals,638,141,13,10,164
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,0,TreasuryWithdrawals,638,69,63,25,157
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,9,TreasuryWithdrawals,638,101,13,12,126
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,7,TreasuryWithdrawals,638,97,19,8,124
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf,1,TreasuryWithdrawals,638,117,12,6,135
8721696358acdd43e34e5ed9ef1b3e2a1d2af9c1aa1972e017b9b9271b7ddc70,0,TreasuryWithdrawals,637,69,65,33,167
fbb8d1a4a8d6b62f8cd706944a0582b884c2b90187b8fada7953d5c6a33eb5a7,0,TreasuryWithdrawals,637,151,28,17,196
fdd468da5cc4ac8431dcd7e2b3211666c73bc229f85879469f67f1d9d51d344d,0,HardForkInitiation,637,194,1,4,199
5d3a1f657fe330b51b459ca9b482fc1a3b6e3336227f880d8a058771c23e3ce2,0,InfoAction,636,30,59,56,145
d52a4917df4f91c342eaf06ebb4c0a5c3156f6412d137f307cc77eb911f47ab1,0,TreasuryWithdrawals,636,155,15,13,183
4f6e5df9a6e14bd49e406e2bbb0d108b3be2be64b9569b930053a0c1eebe0d47,0,TreasuryWithdrawals,635,175,18,8,201
c75bb221606687aa858ec89c7a15c88e9c17054f2e045ae31ecc8a9687cd206e,0,ParameterChange,635,149,25,18,192
17e43ffe4b2e0df1787d54f21ac66643c74abb131a326272fceecbdbbdd0d3fc,0,TreasuryWithdrawals,634,121,22,10,153
3f4b022c9913d52f9f39a8c82a1b9ebe5143fb745f3531f9366c7268bf9b9ce4,0,TreasuryWithdrawals,633,44,89,27,160
c82f3834898e4d70d3605fa0d92ffe31345701075b107a54309c1525f9581f62,0,ParameterChange,633,131,6,11,148
aaa6d9ccb72639c77db46b73bec2eaff9e5fcdfa04909cf1a0f7855a4d31485a,0,TreasuryWithdrawals,632,126,82,30,238
c05eed09c8706453c97c88d403c4ff43b7786a552fe8711aa07d3e6529ffd8ba,0,TreasuryWithdrawals,632,163,34,17,214
9a020ea7a6a0d813ff08c92bd8300b26077ae69a4b827c4d432ac665120325d7,0,TreasuryWithdrawals,631,131,55,34,220
0b3c83b5e62a63603948c247b47cfd012279756fa38cf73b0c6c19ce63f0868c,0,TreasuryWithdrawals,630,14,127,29,170
e0900fddf52f1f2f6439fa8a3aaa8c224ab59b6074d0e2db3b27c8f06b0e5d33,0,TreasuryWithdrawals,630,31,103,32,166
4206ae0bc11ba74f9eb86cd561ba684e44f0f9dfe12bc8f23911422a7e0a75f3,0,TreasuryWithdrawals,629,114,34,20,168
4705a3e4e2b3837c370774c357e31fb30aa02279ff8d34a770d855f905e502dc,0,TreasuryWithdrawals,629,91,70,36,197
5ad10ad39f49a0f93ac91e70482f114fdbcbc05b20ac774dbe23a82efbcb820a,0,TreasuryWithdrawals,629,176,40,26,242
2f583d8efb7a01da81df432f561a5a9bb2f5749555cea3e19d5097a9bfb06b52,0,TreasuryWithdrawals,628,9,136,20,165
3f0ff0d848cab1036621f92732fef5ea1cb6466305889777ee95496933dfd1e4,0,TreasuryWithdrawals,628,99,71,31,201
af15a6627176f13be28100d7aa96a40f103f63c98e553869e38ab135ff4292cd,0,TreasuryWithdrawals,628,47,93,34,174
b4b48b8b822bb0039d312795821339b3719dfc0f682d51064dae716a7610e102,0,TreasuryWithdrawals,628,58,110,31,199
7b42570b685aa6085c8345f894a6b04df06cb6fb17f9f252cfe891ceae705ddc,0,TreasuryWithdrawals,627,134,73,32,239
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,1,TreasuryWithdrawals,626,225,25,12,262
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,0,TreasuryWithdrawals,626,190,60,27,277
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,3,TreasuryWithdrawals,626,199,39,24,262
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,5,TreasuryWithdrawals,626,203,31,22,256
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,7,TreasuryWithdrawals,626,102,89,44,235
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,6,TreasuryWithdrawals,626,189,36,29,254
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,2,TreasuryWithdrawals,626,232,18,11,261
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,8,TreasuryWithdrawals,626,126,82,35,243
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762,4,TreasuryWithdrawals,626,154,65,38,257
bd91fa7ea9b4e09f76cbde3abb0b564ffc60b27e18af464ccec9bef9c718d087,0,TreasuryWithdrawals,623,39,138,26,203
b11527fbcdc9d41e8f497de64a029a18673a5eefc413718459046f0b7a1a6656,0,TreasuryWithdrawals,621,154,49,25,228
b518efa466593906ab388f978b3695449809aacdf28d2aaf4eb5ba16b3c24a1e,0,InfoAction,619,193,12,6,211
8807e3cee3be5647742c329c1dea242f0c1c29b8ad050e15169e3b0302fcbfd6,0,TreasuryWithdrawals,618,111,38,11,160
e5c4d7ebaad03ac127ec19a286605a188d6fea1c54e075c619ca6993b7fa9fd1,0,TreasuryWithdrawals,617,131,45,24,200
f35285db3c4e085ad331843b3007737952b8a322bb3216311edc37fdf44ad3da,0,TreasuryWithdrawals,617,136,74,15,225
e9693ed6b6465b2b46daaf641486a12b4b2946081634b5967b9d98897b0598fa,0,InfoAction,616,141,33,12,186
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa,0,TreasuryWithdrawals,614,138,16,9,163
dfdac5921ab657241fce58583d61bef59a369e01d2ba78191d6df6632a07fdfd,0,ParameterChange,612,38,56,6,100
73a4eb2148781c37ef37c90a33a1d3d00511a8eefe9cdfaa1ea593b090f23f96,0,InfoAction,611,125,44,14,183
4b10e5793208cb8f228756e02113227c91602248eac4d992681a0ee760b6c4e2,0,TreasuryWithdrawals,607,128,47,25,200
8845bfc37bb2f69e8f200fe28148b3dea3c4399b0c49ee0ed2bb4e349cab9eb7,0,InfoAction,606,211,2,15,228
c21b00f90f18fce4003edf42b0b0d455126e01c946e80cc5341a9f9750caf795,0,ParameterChange,606,230,4,6,240
dc4c679c8cf1cec49817d4d2c1c96cd802ec8a047a11dc0b0bb125b5af0a76cd,0,InfoAction,605,127,31,11,169
a633504ddc47a852c4ae033c750597d011a3daf00a0f6bbd48de4c52ef1022dc,0,InfoAction,603,40,116,18,174
3a5be93bafd26d0dbb9bfe19f4acecaa38cef75e50201d19199e6cc856db6601,0,InfoAction,601,159,26,23,208
91a79f5c934b7c91e3027736d565080c2b6611fb8484b1156fdf16121fcfb410,0,NewConstitution,601,164,24,15,203
eb8ef28ca80dbd9ced6f577f013bdfc64897d1f4e326beb37a50fb6b62c38ccd,0,NewCommittee,600,136,33,17,186
4dab331457b61b824bbc6ba4b9d9be4750e25c0b5dd42207aeb63c7431a6b704,0,NewCommittee,599,180,1,2,183
f8393f1ff814d3d52336a97712361fed933d9ef9e8d0909e1d31536a549fd22f,0,TreasuryWithdrawals,599,199,10,5,214
8f54d021c6e6fcdd5a4908f10a7b092fa31cd94db2e809f2e06d7ffa4d78773d,0,InfoAction,597,282,11,11,304
d16dffbae9d86a73cb343506e6712d79c278096dc25e8ba6900eb24522726bba,0,InfoAction,597,235,8,8,251
03f671791fd97011f30e4d6b76c9a91f4f6bcfb60ee37e5399b9545bb3f2757a,0,TreasuryWithdrawals,590,154,42,23,219
3285b7fd0da16d21e0b8f8910c37f77e17a57cfff8f513df4baf692954801088,0,InfoAction,590,166,16,14,196
a36eafaea085b77f97cceacf07fe9450f8c6b47fec3af94da8f7d158a1fc9722,0,InfoAction,590,174,26,14,214
d2745225498d1c56c0f01be9971074a49144d625df0e73a86c51689624fbadb0,0,InfoAction,589,51,112,30,193
c882f194684d672316212f01efc6d28177e8965b7cd6956981fe37cc6715961e,0,NewConstitution,586,181,34,12,227
d2db60c5307cb517c735e2d0138d2b6f10fc5b221d610fa187719bdc82af9a03,0,TreasuryWithdrawals,584,149,39,13,201
996edfe370b8e51be73541e75499a818461305e37c7fa0c1b193f2c587167cc7,0,InfoAction,583,58,40,44,142
e5643c33f608642e329228a968770e5b19ef5f48ff1f698712e2ce864a49e3f0,0,InfoAction,582,209,25,15,249
90cf51975f9c19c291bac3e57364a89507e64daa0a2d35e356f87e6684821556,0,InfoAction,580,171,69,20,260
89e3a4f09122d669d6f6c82dd894e02826e8497be7eb036233bafc0ee4fc6665,0,InfoAction,579,49,97,34,180
207b226e110e13bb18b119fcd313520e0fcd060b2bc9fb9a5e5bc6e94ab10f3b,0,NewConstitution,574,167,55,26,248
1d6aea56e6a523b13e03ae30ff24ebf9852543b4f7d415c7e50f55f6baaa4e3d,0,TreasuryWithdrawals,573,26,162,23,211
47a0e7a4f9383b1afc2192b23b41824d65ac978d7741aca61fc1fa16833d1111,0,NewCommittee,573,272,7,13,292
4ff43f1eab5252ef00ba6f1429dc23715e3899834f10c067e8065c8364d5559a,0,TreasuryWithdrawals,573,24,159,23,206
2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313,0,TreasuryWithdrawals,570,144,23,6,173
3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9,0,TreasuryWithdrawals,570,212,25,17,254
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,33,TreasuryWithdrawals,570,147,16,7,170
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,11,TreasuryWithdrawals,570,165,23,6,194
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,26,TreasuryWithdrawals,570,152,45,17,214
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,24,TreasuryWithdrawals,570,148,36,11,195
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,19,TreasuryWithdrawals,570,149,82,26,257
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,32,TreasuryWithdrawals,570,185,16,10,211
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,34,TreasuryWithdrawals,570,137,22,6,165
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,16,TreasuryWithdrawals,570,149,31,6,186
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,18,TreasuryWithdrawals,570,158,20,7,185
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,7,TreasuryWithdrawals,570,192,16,9,217
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,9,TreasuryWithdrawals,570,166,19,7,192
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,27,TreasuryWithdrawals,570,127,84,16,227
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,20,TreasuryWithdrawals,570,158,14,10,182
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,30,TreasuryWithdrawals,570,100,121,23,244
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,10,TreasuryWithdrawals,570,144,32,7,183
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,13,TreasuryWithdrawals,570,155,13,10,178
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,35,TreasuryWithdrawals,570,165,52,16,233
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,31,TreasuryWithdrawals,570,118,41,11,170
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,12,TreasuryWithdrawals,570,162,20,8,190
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,4,TreasuryWithdrawals,570,191,12,8,211
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,17,TreasuryWithdrawals,570,133,29,6,168
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,36,TreasuryWithdrawals,570,135,21,7,163
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,21,TreasuryWithdrawals,570,149,41,9,199
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,28,TreasuryWithdrawals,570,122,100,18,240
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,1,TreasuryWithdrawals,570,206,8,9,223
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,22,TreasuryWithdrawals,570,168,47,19,234
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,5,TreasuryWithdrawals,570,194,15,9,218
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,6,TreasuryWithdrawals,570,170,15,4,189
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,3,TreasuryWithdrawals,570,191,15,4,210
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,2,TreasuryWithdrawals,570,204,13,16,233
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,14,TreasuryWithdrawals,570,130,38,8,176
