action_id,action_type,execution_risk_level,governance_risk_level,technical_risk_level,treasury_exposure_risk_level,mitigation_evidence_present,independent_assurance_present,rollback_or_remedy_path,dependency_map_complete,risk_profile_confidence,risk_blocker,notes,owner,status
gov_action10ueqgzwenxr39le68n0se9peu92r7gm2846xwehh3u0ahc0qd0uqqyljxu5,InfoAction,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action1286ft23r7jem825s4l0y5rn8sgam0tz2ce04l7a38qmnhp3l9a6qqn850dw,ParameterChange,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action13qr78nhrhetywapvx2wpm63y9uxpc2dc45zsu9gkncasxqhuhltqqqfu32x,TreasuryWithdrawals,unknown,unknown,unknown,unknown,yes,yes,yes,yes,0.70,no,,drep-ops,ready_for_directional
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpcdq823y,TreasuryWithdrawals,unknown,unknown,unknown,unknown,yes,yes,yes,yes,0.70,no,,drep-ops,ready_for_directional
gov_action169kllwhfmp488je5x5rwvufd08p8sztdcf0ghf5sp6ey2gnjdwaqql47xry,InfoAction,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action1aw809r9gpk7eemt02alszw7lceyf0505uvntavm62rakkckr3nxsqd54zm8,NewCommittee,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action1fpqwxp2kxvnntr8hpkh9q9djm78ccdww7qlhg5safugh4stmcwzqql5lauu,InfoAction,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action1fvgw27fjpr9c7g582mszzyez0jgkqgjgatzdnyngrg8wwc9kcn3qqxtz8r7,TreasuryWithdrawals,unknown,unknown,unknown,unknown,yes,yes,yes,yes,0.75,no,,drep-ops,ready_for_directional
gov_action1k2jertppnnndejjcglszfqq4yzw8evzrd2nt66rr6rqlz54xp0zsq05ecsn,ParameterChange,unknown,unknown,unknown,unknown,yes,yes,yes,yes,0.75,no,,drep-ops,ready_for_directional
gov_action1n5sn54mgf47a7men2ryq6ppx88kta4wvenz2qkl4f9v6ppje8easqxwm88m,InfoAction,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action1n9hdlcmshrj3hee4g8n4fxdgrprpxp0r03l6psd3j0evtpck0nrsqm57age,InfoAction,unknown,unknown,unknown,unknown,yes,yes,yes,yes,0.70,no,,drep-ops,ready_for_directional
gov_action1pvv5wmjqhwa4u85vu9f4ydmzu2mgt8n7et967ph2urhx53r70xusqnmm525,HardForkInitiation,high,high,unknown,unknown,yes,yes,yes,yes,0.80,no,,drep-ops,ready_for_directional
gov_action1uhzd06a26qavzflvrx3gvcz6rzxkl6su2ns8t3seef5e8dl6nlgsqcgtufg,TreasuryWithdrawals,unknown,unknown,unknown,unknown,yes,yes,yes,yes,0.70,no,,drep-ops,ready_for_directional
