action_id,action_type,abstain_reason_code,anchor_pinned,anchor_fallback_packet,action_metadata_complete,timeline_defined,governance_rules_clear,budget_envelope_clear,milestones_acceptance_clear,disbursement_controls_clear,sustainability_path_clear,risk_profile_complete,drep_distribution_available,hard_blocker,readiness_score,minimum_new_evidence_to_decide,owner,status
gov_action10ueqgzwenxr39le68n0se9peu92r7gm2846xwehh3u0ahc0qd0uqqyljxu5,InfoAction,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action1286ft23r7jem825s4l0y5rn8sgam0tz2ce04l7a38qmnhp3l9a6qqn850dw,ParameterChange,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action13qr78nhrhetywapvx2wpm63y9uxpc2dc45zsu9gkncasxqhuhltqqqfu32x,TreasuryWithdrawals,RULE_THRESHOLD_UNMET,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,Add budget/milestone/sustainability clarity to push score directional.,drep-ops,ready_for_directional
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpcdq823y,TreasuryWithdrawals,RULE_THRESHOLD_UNMET,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,Add budget/milestone/sustainability clarity to push score directional.,drep-ops,ready_for_directional
gov_action169kllwhfmp488je5x5rwvufd08p8sztdcf0ghf5sp6ey2gnjdwaqql47xry,InfoAction,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action1aw809r9gpk7eemt02alszw7lceyf0505uvntavm62rakkckr3nxsqd54zm8,NewCommittee,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action1fpqwxp2kxvnntr8hpkh9q9djm78ccdww7qlhg5safugh4stmcwzqql5lauu,InfoAction,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action1fvgw27fjpr9c7g582mszzyez0jgkqgjgatzdnyngrg8wwc9kcn3qqxtz8r7,TreasuryWithdrawals,CONTEXT_THIN_ANCHOR_UNPINNED,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved with fallback evidence packet),drep-ops,ready_for_directional
gov_action1k2jertppnnndejjcglszfqq4yzw8evzrd2nt66rr6rqlz54xp0zsq05ecsn,ParameterChange,DREP_DISTRIBUTION_MISSING,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved with distribution fallback policy + packet),drep-ops,ready_for_directional
gov_action1n5sn54mgf47a7men2ryq6ppx88kta4wvenz2qkl4f9v6ppje8easqxwm88m,InfoAction,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action1n9hdlcmshrj3hee4g8n4fxdgrprpxp0r03l6psd3j0evtpck0nrsqm57age,InfoAction,RULE_THRESHOLD_UNMET,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,Add budget/milestone/sustainability clarity to push score directional.,drep-ops,ready_for_directional
gov_action1pvv5wmjqhwa4u85vu9f4ydmzu2mgt8n7et967ph2urhx53r70xusqnmm525,HardForkInitiation,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action1uhzd06a26qavzflvrx3gvcz6rzxkl6su2ns8t3seef5e8dl6nlgsqcgtufg,TreasuryWithdrawals,RULE_THRESHOLD_UNMET,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,Add budget/milestone/sustainability clarity to push score directional.,drep-ops,ready_for_directional
gov_action1zhuz5djmmmjg8f9s8pe6grfc98xg3szglums8cgm6qwancp4eytqqmpu0pr,InfoAction,RISK_HIGH,yes,unknown,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,(resolved in current packet),drep-ops,ready_for_directional
gov_action1xg69v73lfzkwyhhuz583x6geyc2ewn3r96sxuqj3wqvrrk0yfpksqqa63yc,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1mlvplrdk2t7eyclqeca77ppmfq3sghkr5hdppjqhdqdd573r7q6qqms7jwt,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1cpnqmlgpkz3dnwnm4spqzsmsp93y9mr4vqcm2ltcpqyyf7a7nszsq4h586r,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action15atytcy8ru7mkcs8m7r8mx7k5x36t0h6grtgmak6v5wmf4nq07lsqhakceq,InfoAction,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1xk6yrz0tg72a2a63ytd99gapz46nlqlavckarleqt6nr8lyekd8qqp0ga3d,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1pa6a6yd7pdaxed9nqkshtvtu7jmqe5c8cpf0ej4lnatjj588qkpsq2x2sz2,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1mr0qdz2jmagvsch6r08fhqvq6vu8jakt4c8m9s7ea7z0p740vntqq4yjd6j,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1fdatlfcdnzzcw5x9pnt9r42v992nqw65zze57s8tyk0jll78eyusqccn9gc,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action12sumv9qky4pkenmqp7gshv9nxqdk9zyn8gkd77fewkyy3t5tnxtsq457vgq,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8sztttste,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8syhyg4hw,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8sxypfkyr,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8sw64d667,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
gov_action1k02990lhw6wh74t7c6ufw3mqaek9ujtvyan99dj5qv5kvcs7pn8svfsvefn,TreasuryWithdrawals,,yes,no,yes,yes,yes,unknown,unknown,unknown,unknown,no,yes,no,,,drep-agent-extract,machine_derived
