action_id,flag,severity,detail
73a4eb2148781c37ef37c90a33a1d3d00511a8eefe9cdfaa1ea593b090f23f96#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
4b10e5793208cb8f228756e02113227c91602248eac4d992681a0ee760b6c4e2#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
4b10e5793208cb8f228756e02113227c91602248eac4d992681a0ee760b6c4e2#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
c21b00f90f18fce4003edf42b0b0d455126e01c946e80cc5341a9f9750caf795#0,🟡 PARAM_CLUSTER,yellow,Multiple parameter changes bundled in one action: 4 params changed at once
dc4c679c8cf1cec49817d4d2c1c96cd802ec8a047a11dc0b0bb125b5af0a76cd#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
a633504ddc47a852c4ae033c750597d011a3daf00a0f6bbd48de4c52ef1022dc#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
91a79f5c934b7c91e3027736d565080c2b6611fb8484b1156fdf16121fcfb410#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
4dab331457b61b824bbc6ba4b9d9be4750e25c0b5dd42207aeb63c7431a6b704#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
f8393f1ff814d3d52336a97712361fed933d9ef9e8d0909e1d31536a549fd22f#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
d16dffbae9d86a73cb343506e6712d79c278096dc25e8ba6900eb24522726bba#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
8f54d021c6e6fcdd5a4908f10a7b092fa31cd94db2e809f2e06d7ffa4d78773d#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
3285b7fd0da16d21e0b8f8910c37f77e17a57cfff8f513df4baf692954801088#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
03f671791fd97011f30e4d6b76c9a91f4f6bcfb60ee37e5399b9545bb3f2757a#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
03f671791fd97011f30e4d6b76c9a91f4f6bcfb60ee37e5399b9545bb3f2757a#0,🟡 SINGLE_BENEFICIARY,yellow,Treasury withdrawal to a single address
c882f194684d672316212f01efc6d28177e8965b7cd6956981fe37cc6715961e#0,🟡 NO_DISCUSSION,yellow,No links to forum discussion or community feedback
