id,timestamp,source,proposals_found,new_proposals,errors
979,2026-07-15T14:53:43.255161+00:00,beacn-warehouse,150,0,[]
978,2026-07-15T14:30:50.212873+00:00,beacn-warehouse,150,0,[]
977,2026-07-15T12:00:01.289907+00:00,beacn-warehouse,150,0,[]
976,2026-07-15T11:30:04.470338+00:00,beacn-warehouse,150,0,[]
975,2026-07-15T08:00:01.793067+00:00,beacn-warehouse,150,0,[]
974,2026-07-15T04:00:01.749956+00:00,beacn-warehouse,150,0,[]
973,2026-07-15T00:00:01.529173+00:00,beacn-warehouse,150,0,[]
972,2026-07-14T20:00:01.196364+00:00,beacn-warehouse,150,0,[]
971,2026-07-14T16:00:01.369334+00:00,beacn-warehouse,150,0,[]
970,2026-07-14T12:00:01.985658+00:00,beacn-warehouse,150,0,[]
969,2026-07-14T11:30:04.426205+00:00,beacn-warehouse,150,0,[]
968,2026-07-14T08:00:01.644431+00:00,beacn-warehouse,150,0,[]
967,2026-07-14T04:00:01.723853+00:00,beacn-warehouse,150,0,[]
966,2026-07-14T00:00:01.745014+00:00,beacn-warehouse,150,0,[]
965,2026-07-13T20:00:01.488679+00:00,beacn-warehouse,150,0,[]
964,2026-07-13T16:00:01.883814+00:00,beacn-warehouse,150,0,[]
963,2026-07-13T15:15:32.806919+00:00,beacn-warehouse,150,0,[]
962,2026-07-13T12:51:08.349508+00:00,beacn-warehouse,150,0,[]
961,2026-07-13T12:00:01.425894+00:00,beacn-warehouse,150,0,[]
960,2026-07-13T08:00:01.404535+00:00,beacn-warehouse,150,0,[]
959,2026-07-13T04:00:01.257392+00:00,beacn-warehouse,150,0,[]
958,2026-07-13T00:00:01.877002+00:00,beacn-warehouse,150,0,[]
957,2026-07-12T20:00:02.090595+00:00,beacn-warehouse,150,0,[]
956,2026-07-12T16:00:01.972632+00:00,beacn-warehouse,150,0,[]
955,2026-07-12T12:00:01.774836+00:00,beacn-warehouse,150,0,[]
954,2026-07-12T08:00:01.236585+00:00,beacn-warehouse,150,0,[]
953,2026-07-12T06:30:09.446323+00:00,beacn-warehouse,150,0,[]
952,2026-07-12T04:00:01.285582+00:00,beacn-warehouse,150,0,[]
951,2026-07-12T00:00:01.462089+00:00,beacn-warehouse,150,0,[]
950,2026-07-11T20:00:01.950414+00:00,beacn-warehouse,150,0,[]
949,2026-07-11T13:00:01.324289+00:00,beacn-warehouse,150,0,[]
948,2026-07-11T11:30:05.186378+00:00,beacn-warehouse,150,0,[]
947,2026-07-11T09:00:01.626397+00:00,beacn-warehouse,150,0,[]
946,2026-07-11T05:00:01.618281+00:00,beacn-warehouse,150,0,[]
945,2026-07-11T01:00:01.584563+00:00,beacn-warehouse,150,0,[]
944,2026-07-10T21:00:01.414884+00:00,beacn-warehouse,150,0,[]
943,2026-07-10T17:00:01.814998+00:00,beacn-warehouse,150,0,[]
942,2026-07-10T13:00:02.055081+00:00,beacn-warehouse,150,0,[]
941,2026-07-10T12:44:41.901950+00:00,beacn-warehouse,150,0,[]
940,2026-07-10T11:30:04.499477+00:00,beacn-warehouse,150,0,[]
939,2026-07-10T09:00:02.032241+00:00,beacn-warehouse,150,0,[]
938,2026-07-10T05:00:01.227617+00:00,beacn-warehouse,150,0,[]
937,2026-07-10T03:21:53.574905+00:00,beacn-warehouse,150,0,[]
936,2026-07-10T01:00:01.379812+00:00,beacn-warehouse,150,0,[]
935,2026-07-09T21:00:01.798380+00:00,beacn-warehouse,150,1,[]
934,2026-07-09T17:00:01.459156+00:00,beacn-warehouse,149,0,[]
933,2026-07-09T13:00:01.556091+00:00,beacn-warehouse,149,0,[]
932,2026-07-09T09:00:01.877671+00:00,beacn-warehouse,149,0,[]
931,2026-07-09T05:00:01.341687+00:00,beacn-warehouse,149,0,[]
930,2026-07-09T01:00:01.341525+00:00,beacn-warehouse,149,0,[]
929,2026-07-08T21:00:01.494422+00:00,beacn-warehouse,149,0,[]
928,2026-07-08T17:00:01.958724+00:00,beacn-warehouse,149,0,[]
927,2026-07-08T13:00:01.379906+00:00,beacn-warehouse,149,0,[]
926,2026-07-08T11:30:04.410760+00:00,beacn-warehouse,149,0,[]
